node	ismarine
Tetraodon_erythrotaenia	False
n610610	True
n630	True
n671	True
n676676	True
n679679	True
Lactoria_diaphana	True
Paramonacanthus_choirocephalus	True
n687	True
Anarhichas_lupus	True
Anarhichas_minor	True
Gasterosteus_aculeatus	False
Spinachia_spinachia	False
Cottunculus_thomsonii	True
n693	False
Leocottus_kesslerii	False
Myoxocephalus_quadricornis	False
n700	False
n752752	False
n757	False
Anablepsoides_hartii	False
n772	False
Fundulopanchax_mirabilis	False
n777	False
n779779	False
n782	False
Maratecoara_formosa	False
n793	False
Gnatholebias_zonatus	False
n795795	False
Cynodonichthys_tenuis	False
Cheimarrichthys_fosteri	False
Pomadasys_incisus	True
n799799	False
Lateolabrax_japonicus	False
n802802	True
Torquigener_squamicauda	False
n811	True
n818818	True
Acanthemblemaria_rivasi	True
n852	True
n855855	True
Clinus_agilis	True
n858	True
n863863	True
n868868	False
n894	True
Cerdale_floridana	False
Microdesmus_bahianus	True
Aspasma_minima	True
n913	True
n916916	True
Andamia_reyi	True
n934934	True
n947	True
n950950	True
n951	True
n957	False
Stiphodon_atratus	False
n961961	False
Lentipes_kaaea	False
n969969	True
Fusigobius_duospilus	True
n977	True
Cryptocentrus_cinctus	True
n1515	False
Sarcocheilichthys_parvus	False
n3333	False
Sinibrama_macrops	False
n3434	False
Zacco_platypus	False
Paralaubuca_riveroi	False
Paralaubuca_typus	False
n3939	False
n40	False
Hainania_serrata	False
Toxabramis_houdemeri	False
n48	False
Metzia_lineata	False
n57	False
Algansea_tincella	False
n90	False
n91	False
n9494	False
Luxilus_chrysocephalus	False
n103	False
Notropis_baileyi	False
Campostoma_oligolepis	False
Campostoma_pauciradii	False
n111111	False
n112	False
n114114	False
Oregonichthys_crameri	False
n159159	False
n165165	False
n183183	False
Malayochela_maassi	False
n222222	False
Garra_lamta	False
n229	False
Pseudocrossocheilus_longibullus	False
Parasinilabeo_assimilis	False
n233	False
n240240	False
n257	False
Leptobarbus_hoevenii	False
Luciosoma_setigerum	False
Devario_chrysotaeniatus	False
Devario_xyrops	False
n270270	False
Devario_regina	False
Devario_apogon	False
Devario_laoensis	False
n280	False
n281	False
n283283	False
n284	False
n314	True
n314314	True
n323323	True
n577577	True
n586	True
n592592	False
Arothron_stellatus	True
n594594	True
n598598	True
n603603	True
n605	False
Carinotetraodon_travancoricus	False
n611	True
n628	True
n630630	True
n669	True
n671671	True
n675675	True
n677	True
Canthigaster_leoparda	True
n680	True
n681	True
Pervagor_melanocephalus	True
Pervagor_nigrolineatus	True
Taurulus_bubalis	False
Xeneretmus_latifrons	True
n700700	False
